Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Splitsko-dalmatinska,Seget Donji,"DIŠPET, obrt za ugostiteljstvo, vl. Iva Dujić, Seget...",Konobar/konobarica,20 dana do isteka,https://www.posao.hr/oglasi/konobar-konobarica/753130/
Splitsko-dalmatinska,Makarska,"ZANZIBAR, turistička agencija, društvo s ograničenom...",Konobar/ica,20 dana do isteka,https://www.posao.hr/oglasi/konobar-ica/753124/
Splitsko-dalmatinska,Sinj,"BTA GRADITELJSTVO, obrt za graditeljstvo, vl. Boško...",Pomoćni građevinski radnik/ pomoćna građevinska radnica,23 dana do isteka,https://www.posao.hr/oglasi/pomocni-gradevinski-radnik-pomocna-gradevinska-radnica/753335/
Splitsko-dalmatinska,Sinj,"BTA GRADITELJSTVO, obrt za graditeljstvo, vl. Boško...",Zidar/zidarica,23 dana do isteka,https://www.posao.hr/oglasi/zidar-zidarica/753220/
Varaždinska,Ludbreg,PLODINE dioničko društvo za trgovinu i usluge,Prodavač/prodavačica,10 dana do isteka,https://www.posao.hr/oglasi/prodavac-prodavacica/751261/
Varaždinska,Varaždin,KLEMM SIGURNOST društvo s ograničenom odgovornošću za...,Zaštitar/zaštitarka,10 dana do isteka,https://www.posao.hr/oglasi/zastitar-zastitarka/751242/
Varaždinska,Varaždin,KLEMM SIGURNOST društvo s ograničenom odgovornošću za...,Vatrogasac/vatrogasica,10 dana do isteka,https://www.posao.hr/oglasi/vatrogasac-vatrogasica/751227/
Varaždinska,Cerje Nebojse,CIGLANA CERJE TUŽNO društvo s ograničenom...,Procesni radnik - pogonski električar / procesna radnica - pogonska električarka,2 dana do isteka,https://www.posao.hr/oglasi/procesni-radnik-pogonski-elektricar-procesna-radnica-pogonska-elektricarka/751292/
Varaždinska,Varaždin,GASTROCOM D.O.O. ZA UGOSTITELJSTVO I TRGOVINU,Kuhar/kuharica,10 dana do isteka,https://www.posao.hr/oglasi/kuhar-kuharica/751208/
Varaždinska,Varaždin Breg,"UGOSTITELJSKI OBRT, MIRKO ČEŠLJAŠ, VARAŽDIN BREG,...",Kuhar/kuharica,10 dana do isteka,https://www.posao.hr/oglasi/kuhar-kuharica/751207/
