Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Varaždinska,Varaždin,"DERMA d.d. za proizvodnju crijeva, trgovinu, izvoz-uvoz",Pomoćni tiskar/pomoćna tiskarica,4 dana do isteka,https://www.posao.hr/oglasi/pomocni-tiskar-pomocna-tiskarica/706714/
Varaždinska,Novi Marof,UTER UTRIUS društvo s ograničenom odgovornošću za...,Vozač/vozačica teretnog motornog vozila u međunarodnom transportu,8 dana do isteka,https://www.posao.hr/oglasi/vozac-vozacica-teretnog-motornog-vozila-u-medunarodnom-transportu/706380/
Varaždinska,Donji Kućan,"AQUA - THERMO TEHNIKA, obrt za instalaterske radove",Vodoinstalater/vodoinstalaterka - instalater/instalaterka centralnog grijanja i klimatizacije,28 dana do isteka,https://www.posao.hr/oglasi/vodoinstalater-vodoinstalaterka-instalater-instalaterka-centralnog-grijanja-i-klimatizacije/705846/
Varaždinska,Breznički Hum,Bukovčak Mont društvo s ograničenom odgovornošću za...,Monter dizala/monterka dizala,28 dana do isteka,https://www.posao.hr/oglasi/monter-dizala-monterka-dizala/705857/
Varaždinska,Ljubešćica,"LIMARSKE USLUGE SAKAČ, OBRT ZA LIMARSKE RADOVE, VL....",Tesar-krovopokrivač/tesarica-krovopokrivačica,28 dana do isteka,https://www.posao.hr/oglasi/tesar-krovopokrivac-tesarica-krovopokrivacica/705843/
Varaždinska,Varaždin,VODOGRADNJA VARAŽDIN D.D.,Monter/monterka vodovoda i kanalizacije,8 dana do isteka,https://www.posao.hr/oglasi/monter-monterka-vodovoda-i-kanalizacije/704784/
Međimurska,Pušćine,OKNO D.O.O. ZA TRGOVINU I USLUGE,Djelatnik/ca za montažu alu stolarije,9 dana do isteka,https://www.posao.hr/oglasi/djelatnik-ca-za-montazu-alu-stolarije/707610/
Međimurska,Čakovec,LTH Alucast društvo s ograničenom odgovornošću za...,Alatničar/alatničarka,9 dana do isteka,https://www.posao.hr/oglasi/alatnicar-alatnicarka/707602/
Međimurska,Strahoninec,"AUTOUSLUGA, D.O.O. ZA POPRAVAK I ODRŽAVANJE MOTORNIH...",Autolakirer/autolakirerka,9 dana do isteka,https://www.posao.hr/oglasi/autolakirer-autolakirerka/707577/
Međimurska,Gornji Kuršanec,GRADAX društvo s ograničenom odgovornošću za...,Radnik/radnica na gradilištu,6 dana do isteka,https://www.posao.hr/oglasi/radnik-radnica-na-gradilistu/707420/
Međimurska,Gornji Kuršanec,GRADAX društvo s ograničenom odgovornošću za...,Rukovatelj/rukovateljica samohodnim građevinskim strojevima,6 dana do isteka,https://www.posao.hr/oglasi/rukovatelj-rukovateljica-samohodnim-gradevinskim-strojevima/707404/
